eid,account_number_avg_order_total_per_account_number_1day,account_number_avg_order_total_per_account_number_30day,account_number_avg_order_total_per_account_number_7day,account_number_avg_order_total_per_account_number_90day,account_number_num_distinct_transaction_per_account_number_1day,account_number_num_distinct_transaction_per_account_number_30day,account_number_num_distinct_transaction_per_account_number_7day,account_number_num_distinct_transaction_per_account_number_90day,account_number_num_fraud_transactions_per_account_number_1day,account_number_num_fraud_transactions_per_account_number_30day,account_number_num_fraud_transactions_per_account_number_7day,account_number_num_fraud_transactions_per_account_number_90day,account_number_num_fraud_transactions_per_account_number_lifetime,account_number_num_order_items_per_account_number_1day,account_number_num_order_items_per_account_number_30day,account_number_num_order_items_per_account_number_7day,account_number_num_order_items_per_account_number_90day,account_number_num_order_items_per_account_number_lifetime,account_number_sum_order_total_per_account_number_1day,account_number_sum_order_total_per_account_number_30day,account_number_sum_order_total_per_account_number_7day,account_number_sum_order_total_per_account_number_90day,is_billing_shipping_city_same,is_existing_user,num_order_items,order_total,status,is_fraud
147-5738036-4442504,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
254-3871443-0481877,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,New,0.0
404-7064563-8888834,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
775-5355315-3130338,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
899-4723735-1420281,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
466-5992810-5480237,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
636-8111725-1204700,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
791-7501306-9365626,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
498-0328492-3706346,192.95,192.95,192.95,192.95,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,192.95,192.95,192.95,192.95,1.0,1.0,2.0,192.95,New,0.0
655-0250136-9024038,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,New,0.0
